gene	norm_1	norm_2	norm_3
CDR20291_0616	399	384	499
CDR20291_0617	146	151	113
CDR20291_0618	1995	2010	2148
CDR20291_0619	318	382	330
CDR20291_0620	764	703	682
CDR20291_0621	548	552	529
CDR20291_0622	5820	5881	5379
CDR20291_0623	3468	3501	3201
CDR20291_0624	1427	1507	1331
CDR20291_0625	13471	13898	13997
CDR20291_0626	39940	41343	40733
CDR20291_0627	13975	14256	14283
CDR20291_0628	367	437	418
CDR20291_0629	7226	6880	7861
CDR20291_0630	2902	2752	3363
CDR20291_0631	2506	2345	2843
CDR20291_0632	5551	5582	5853
CDR20291_0633	22751	22074	22353
CDR20291_0634	65029	66499	67547
CDR20291_0635	11656	11114	12052
CDR20291_0636	1567	1373	1670
CDR20291_0637	24484	24354	24335
CDR20291_0638	2703	2568	2256
CDR20291_0639	7169	7135	6892
CDR20291_0640	6052	6013	6195
CDR20291_0641	3	5	1
CDR20291_0642	3232	3100	4136
CDR20291_0643	19323	20208	22865
CDR20291_0644	2077	2273	2329
CDR20291_0645	22956	23963	25047
CDR20291_0646	1894	2124	2299
CDR20291_0647	2373	2534	3376
CDR20291_0648	1578	1429	2204
CDR20291_0649	2140	2298	3004
CDR20291_0650	3520	3750	4729
CDR20291_0651	1932	1960	2616
CDR20291_0652	3574	3792	4630
CDR20291_0653	5366	5897	6473
CDR20291_0654	3473	3830	4077
CDR20291_0655	12026	12660	13179
CDR20291_0656	3939	4153	4371
CDR20291_0657	2189	2223	2319
CDR20291_0658	906	907	1001
CDR20291_0659	986	1008	1092
CDR20291_0660	1002	887	1089
CDR20291_0661	1626	1614	1791
CDR20291_0662	12423	12249	13847
CDR20291_0663	8633	8400	9970
CDR20291_0664	2549	2559	2208
CDR20291_0665	236	238	209
CDR20291_0666	1532	1487	1626
CDR20291_0667	1228	1265	1295
CDR20291_0668	125	126	154
CDR20291_0669	82	119	105
CDR20291_0670	142	154	171
CDR20291_0671	1671	1494	1400
CDR20291_0672	1824	1758	1633
CDR20291_0673	2309	2258	2041
CDR20291_0674	215	208	188
CDR20291_0675	3679	3463	3590
CDR20291_0676	8730	8544	8309
CDR20291_0677	3501	3540	2880
CDR20291_0678	1494	1536	1174
CDR20291_0679	1744	1786	1384
CDR20291_0680	2300	2428	2057
CDR20291_0681	3989	3949	3326
CDR20291_0682	10127	10039	9245
CDR20291_0683	6032	6211	6051
CDR20291_0684	4869	5153	5429
CDR20291_0685	13680	13231	12825
CDR20291_0686	2872	3233	2706
CDR20291_0687	76541	79753	63157
CDR20291_0688	111	153	127
CDR20291_0689	17044	16905	11691
CDR20291_0690	453	420	688
CDR20291_0691	38	49	80
CDR20291_0692	106	120	133
CDR20291_0693	76	75	133
CDR20291_0694	230	309	390
CDR20291_0695	260	263	285
CDR20291_0696	131	136	174
CDR20291_0697	920	840	837
CDR20291_0698	2329	2393	2272
CDR20291_0699	343	308	318
CDR20291_0700	733	714	716
CDR20291_0701	1336	1325	1323
CDR20291_0702	21	21	14
CDR20291_0703	98	96	117
CDR20291_0704	76	102	97
CDR20291_0705	8318	8286	10463
CDR20291_0706	290	322	315
CDR20291_0707	127	129	150
CDR20291_0708	438	417	504
CDR20291_0709	406	410	494
CDR20291_0710	1458	1634	1589
CDR20291_0711	6427	6835	6698
CDR20291_0712	40932	42571	38373
CDR20291_0713	247	249	243
CDR20291_0714	345	321	351
CDR20291_0715	968	1069	986
CDR20291_0716	12444	12676	10405
CDR20291_0717	2173	2084	1665
CDR20291_0718	636	656	710
CDR20291_0719	6648	6763	7014
CDR20291_0720	5824	5910	7009
CDR20291_0721	4543	4674	5907
CDR20291_0722	1206	1150	1329
CDR20291_0723	19	19	24
CDR20291_0724	7	1	3
CDR20291_0725	8655	9165	9907
CDR20291_0726	15166	15961	15918
CDR20291_0727	3210	3178	3030
CDR20291_0728	26	39	32
CDR20291_0729	48	66	60
CDR20291_0730	132	112	118
CDR20291_0731	11	13	26
CDR20291_0732	34	39	52
CDR20291_0733	73	106	126
CDR20291_0734	65	113	87
CDR20291_0735	73	67	75
CDR20291_0736	149	192	195
CDR20291_0737	902	937	957
CDR20291_0738	2936	2908	3038
CDR20291_0739	79	77	80
CDR20291_0740	1988	2146	2282
CDR20291_0741	2935	2699	3315
CDR20291_0742	12045	11933	12288
CDR20291_0743	8489	8343	9409
CDR20291_0744	3081	2951	3274
CDR20291_0745	3059	3014	3084
CDR20291_0746	966	1052	1028
CDR20291_0747	1554	1601	1572
CDR20291_0748	2229	2511	2378
CDR20291_0749	2438	2590	2268
CDR20291_0750	4440	4591	4091
CDR20291_0751	6418	6601	6272
CDR20291_0752	1255	1503	1330
CDR20291_0753	1221	1202	1051
CDR20291_0754	1992	2072	1962
CDR20291_0755	7079	7150	7263
CDR20291_0756	3580	3766	3807
CDR20291_0757	3169	3395	3647
CDR20291_0758	4333	4322	4255
CDR20291_0759	669	745	794
CDR20291_0760	21856	22375	21361
CDR20291_0761	1367	1268	987
CDR20291_0762	580	675	619
CDR20291_0763	2310	2374	2606
CDR20291_0764	1182	1163	1134
CDR20291_0765	3239	3089	3261
CDR20291_0766	3465	3412	3435
CDR20291_0767	5774	5472	5656
CDR20291_0768	2641	2431	2624
CDR20291_0769	3854	3745	3598
CDR20291_0770	3947	3930	4261
CDR20291_0771	10237	10170	10448
CDR20291_0772	1238	1180	1241
CDR20291_0773	2815	2770	2919
CDR20291_0774	15100	15035	15347
CDR20291_0775	36	27	34
CDR20291_0776	2610	2657	2555
CDR20291_0777	178	169	143
CDR20291_0778	506	542	475
CDR20291_0779	4248	4289	4885
CDR20291_0780	522	488	636
CDR20291_0781	1213	1252	1166
CDR20291_0782	1453	1501	1301
CDR20291_0783	26806	26908	30035
CDR20291_0784	20500	20529	22791
CDR20291_0785	51171	50860	57904
CDR20291_0786	22207	22282	25310
CDR20291_0787	18993	19184	21662
CDR20291_0788	0	0	0
CDR20291_0789	14	7	1
CDR20291_0790	13	7	13
CDR20291_0791	107	79	71
CDR20291_0792	66	80	86
CDR20291_0793	686	622	618
CDR20291_0794	2096	2060	2587
CDR20291_0795	2345	2395	2536
CDR20291_0796	112	111	91
CDR20291_0797	3482	3339	3481
CDR20291_0798	3617	3703	3858
CDR20291_0799	1798	1902	1618
CDR20291_0800	3398	3496	3231
CDR20291_0801	1947	2036	1971
CDR20291_0802	148957	152893	149187
CDR20291_0803	64363	64373	61721
CDR20291_0804	63756	64175	59473
CDR20291_0805	8988	8439	9137
CDR20291_0806	3703	3506	3427
CDR20291_0807	2557	2319	2261
CDR20291_0808	4585	4564	5028
CDR20291_0809	4365	4254	4127
CDR20291_0810	2400	2228	2375
CDR20291_0811	9648	9874	9723
CDR20291_0812	2550	2508	3255
