gene	norm_1	norm_2	norm_3
OG1RF_10618	832	687	861
OG1RF_10620	4128	2935	3171
OG1RF_10621	9047	6043	6412
OG1RF_10623	2945	2084	2073
OG1RF_10625	20889	20804	20368
OG1RF_10626	4000	3790	3643
OG1RF_10629	15997	16391	16600
OG1RF_10632	1199	1149	1170
OG1RF_10633	1323	1430	1387
OG1RF_10635	12379	12570	12684
OG1RF_10640	8988	9400	9700
OG1RF_10644	677	701	695
OG1RF_10645	254	248	200
OG1RF_10646	4900	5085	4799
OG1RF_10648	7774	7345	7444
OG1RF_10649	31404	30137	30995
OG1RF_10650	2232	2178	2279
OG1RF_10651	3210	3102	3179
OG1RF_10652	546	617	570
OG1RF_10653	8397	8080	7886
OG1RF_10655	15131	16378	16688
OG1RF_10656	26908	27770	28006
OG1RF_10658	444	530	439
OG1RF_10659	3097	2968	2786
OG1RF_10661	9481	9645	9605
OG1RF_10662	7463	7708	7471
OG1RF_10664	955	917	902
OG1RF_10665	6624	6851	6343
OG1RF_10667	16903	17960	17482
OG1RF_10669	11798	11995	12116
OG1RF_10670	3651	3888	3955
OG1RF_10671	22762	25033	27110
OG1RF_10672	20452	20967	20125
OG1RF_10673	5129	5207	5171
OG1RF_10677	6320	6661	6271
OG1RF_10678	3787	4166	4021
OG1RF_10679	652	741	620
OG1RF_10680	7105	7225	7284
OG1RF_10681	2325	2415	2388
OG1RF_10686	1040	997	1014
OG1RF_10687	3081	2947	2996
OG1RF_10688	779	754	793
OG1RF_10689	1137	1190	1163
OG1RF_10690	2525	2569	2675
OG1RF_10691	36	43	24
OG1RF_10692	93	97	104
OG1RF_10693	6	14	18
OG1RF_10694	60	83	78
OG1RF_10695	36	29	32
OG1RF_10696	146	137	118
OG1RF_10697	95	92	71
OG1RF_10698	202	233	211
OG1RF_10699	1247	1274	1343
OG1RF_10700	73	76	73
OG1RF_10701	12	10	7
OG1RF_10702	39	46	33
OG1RF_10704	35721	33838	34362
OG1RF_10707	3474	3515	3662
OG1RF_10709	5914	5907	5725
OG1RF_10719	3081	3144	3228
OG1RF_10720	3538	3809	3865
OG1RF_10723	8382	8358	8553
OG1RF_10732	55767	54723	55166
OG1RF_10739	1152	1344	1149
OG1RF_10741	8435	8771	8773
OG1RF_10742	13452	13953	14334
OG1RF_10743	24209	25413	25530
OG1RF_10744	0	0	0
OG1RF_10746	85	117	76
OG1RF_10747	1	12	4
OG1RF_10748	9	3	2
OG1RF_10749	35	41	34
OG1RF_10752	1365	1940	1518
OG1RF_10754	6211	6576	6243
OG1RF_10755	305	260	222
OG1RF_10758	2879	2727	2661
OG1RF_10759	3491	3425	3225
OG1RF_10760	24408	25226	25004
OG1RF_10761	4020	3971	4229
OG1RF_10762	3210	3331	3297
OG1RF_10763	3047	3329	3269
OG1RF_10764	2190	2484	2378
OG1RF_10766	1557	1800	1757
OG1RF_10767	961	970	976
OG1RF_10768	981	935	810
OG1RF_10770	18029	18267	18658
OG1RF_10771	453	491	482
OG1RF_10772	15959	16188	16854
OG1RF_10773	981	1067	1154
OG1RF_10774	4643	4986	5223
OG1RF_10775	4753	4885	5294
OG1RF_10776	4873	4370	4037
OG1RF_10780	30627	29632	29197
OG1RF_10783	31961	31255	31339
OG1RF_10785	75	83	91
OG1RF_10786	86	71	98
OG1RF_10787	24	28	30
OG1RF_10788	56	67	83
OG1RF_10789	625	710	680
OG1RF_10791	9	3	8
OG1RF_10792	43	41	33
OG1RF_10793	1	1	4
OG1RF_10794	8	19	25
OG1RF_10795	6820	6959	7022
OG1RF_10796	2247	2453	2481
OG1RF_10798	20	16	13
OG1RF_10799	30	28	27
OG1RF_10800	427	408	499
OG1RF_10801	271	230	279
OG1RF_10802	58	76	73
OG1RF_10803	85	94	85
OG1RF_10804	7363	7392	7161
OG1RF_10805	283	285	295
OG1RF_10806	146	178	177
