gene	norm_1	norm_2	norm_3
CDR20291_0903	16682	16445	16296
CDR20291_0904	9654	9897	10380
CDR20291_0905	13421	13174	14626
CDR20291_0906	3354	3139	3372
CDR20291_0907	1087	910	1016
CDR20291_0908	1634	1599	1718
CDR20291_0909	4253	4899	4672
CDR20291_0916	5679	5464	5307
CDR20291_0917	6380	6159	6140
CDR20291_0919	57	70	37
CDR20291_0920	14	11	15
CDR20291_0921	13	3	1
CDR20291_0922	11	14	19
CDR20291_0924	27	26	29
CDR20291_0925	118	99	97
CDR20291_0926	2243	2429	2493
CDR20291_0927	2807	2540	2857
CDR20291_0928	8138	7350	8221
CDR20291_0929	7969	8127	7660
CDR20291_0930	1400	1341	1575
CDR20291_0931	35346	33619	34961
CDR20291_0932	1252	1257	1077
CDR20291_0933	396	396	360
CDR20291_0934	1282	1148	1158
CDR20291_0935	721	738	634
CDR20291_0936	1654	1774	1713
CDR20291_0937	2336	2424	2379
CDR20291_0938	10636	10235	10788
CDR20291_0939	9438	8712	9206
CDR20291_0942	3224	3519	3181
CDR20291_0943	17321	17268	17054
CDR20291_0944	22278	20749	22731
CDR20291_0945	39465	38544	40785
CDR20291_0947	510	515	558
CDR20291_0948	675	663	683
CDR20291_0949	1925	1609	1741
CDR20291_0950	46	55	57
CDR20291_0953	3633	3615	3722
CDR20291_0954	2361	2250	2408
CDR20291_0955	6808	6368	6952
CDR20291_0956	1001	1010	1011
CDR20291_0957	27052	27508	26058
CDR20291_0958	3682	4080	3814
CDR20291_0959	3957	3901	4308
CDR20291_0960	1885	1895	2011
CDR20291_0961	426	451	471
CDR20291_0962	577	531	530
CDR20291_0963	641	595	748
CDR20291_0966	3944	4260	2946
CDR20291_0967	18254	18965	14285
CDR20291_0968	2525	2337	2184
CDR20291_0969	3273	2830	3328
CDR20291_0971	49835	49397	50514
CDR20291_0972	3253	3295	3493
CDR20291_0979	39	29	29
CDR20291_0984	8926	9502	8096
CDR20291_0985	83245	89954	74720
CDR20291_0991	207	182	233
CDR20291_0992	1051	1036	1249
CDR20291_0993	31822	31423	31041
CDR20291_0995	16310	16621	15228
CDR20291_0996	5118	5088	4467
