reaction	linear_coefficient
rxn01951_c	[0.043709151928362236, 0.05006517734561945, 0.04965811179590961]
rxn10271_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10282_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01509_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01548_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01145_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn02548_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05202_c	[0.17450335409960754, 0.17362061684900684, 0.16852558795572317]
rxn02115_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08352_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00187_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
